task,number,language,slug,lognum,label correct,comment
0,0,Elixir,phoenixframework@phoenix,7,yes but more,one line before more two after
0,1,Scala,twitter@finagle,10,no,ca: failed test. an: warning about exception
0,2,Java,ReactiveX@RxJava,4,yes but more,"longer at end (until stating ""failure"")"
0,3,Haskell,purescript@purescript,7,yes but more addtional errors,way longer. showing more following error messages
0,4,Erlang,erlang@otp,1,yes,
0,5,C++,bitcoin@bitcoin,1,yes but more,one more line at top
0,6,Swift,SwiftyJSON@SwiftyJSON,7,yes but more addtional errors,
0,7,Python,scikit-learn@scikit-learn,2,yes,
0,8,Rust,BurntSushi@ripgrep,3,yes but more,statement that build failed included
0,9,Erlang,processone@ejabberd,5,yes but more addtional errors,
0,10,Lisp,purcell@emacs.d,6,partial,more before. nothing after. two out of 10 lines overlapping
0,11,Java,iluwatar@java-design-patterns,8,yes but more,
0,12,JavaScript,airbnb@javascript,8,yes but more addtional errors,
0,13,TeX,soulmachine@leetcode,6,yes but more,statement that build failed included
0,14,Elixir,h4cc@awesome-elixir,5,yes,
0,15,CSS,jgthms@bulma,6,yes,
0,16,TypeScript,angular@angular,5,partial,more after. overlap 3 lines
0,17,Go,ethereum@go-ethereum,1,yes but more,
0,18,CSS,twbs@bootstrap,2,partial,more after. overlap of relevant part. statement that build failed included
0,19,Swift,vsouza@awesome-ios,5,no,an: extracted sth that did not lead the build to break
0,20,Lua,cmusatyalab@openface,4,yes,
0,21,CoffeeScript,jashkenas@coffeescript,4,yes but less,
0,22,C#,powershell@PowerShell,3,yes but more,more before
0,23,Clojure,technomancy@leiningen,6,yes but more,statement that build failed included. 1 before. 1 after
0,24,TypeScript,Microsoft@vscode,1,yes but less,
0,25,C#,NancyFx@Nancy,4,no,ca: failing test. an: test summary
0,26,Clojure,LightTable@LightTable,3,yes but more,statement that build failed included
0,27,PowerShell,pester@Pester,10,no,"an: extracted sth that did not lead the build to break, looked for keyword failed instead of sturcture"
0,28,Objective-C,dkhamsing@open-source-ios-apps,7,yes,
0,29,Go,getlantern@lantern,8,yes but more addtional errors,
1,0,CoffeeScript,Atom@atom,4,partial,same: Error. diff: failing. crash
1,1,Rust,redox-os@redox,4,yes but more,an: incompatible. more specific to failure
1,2,Lua,luvit@luvit,3,yes,an: captialisation ignored
1,3,Ruby,rails@rails,9,yes,an: captialisation ignored
1,4,Ruby,discourse@discourse,5,partial,ca: error. ✖. an: errors. merror. problems
1,5,HTML,google@web-starter-kit,5,yes but more,ca: error. ano: merror. errors. problems
1,6,R,rstudio@shiny,9,yes but more,ca: exited with 1. an: rebuild. exited
1,7,TeX,cplusplus@draft,4,yes but less,ca: Overfull hbox. exited with 1. an: Overfull
1,8,TeX,adambard@learnxinyminutes-docs,8,yes but more,same: FAILURE. an: failed. aborted
1,9,JavaScript,FreeCodeCamp@freecodecamp,3,yes,diff: 1). an: capitalisation ignored
1,10,CSS,google@material-design-icons,6,yes,an: only single words selected
1,11,CoffeeScript,postcss@autoprefixer,10,yes but more,ca: size limit has exceeded. error. an: exceeded. merror. failed.
1,12,PHP,symfony@symfony,3,yes but less,ca: 1). more generic words
1,13,C++,electron@electron,3,partial,ca: err. Error. ERR! an: Error. failed
1,14,VimL,mhinz@vim-galore,7,no,"ca: exited with 1, README.md: an: longer"
1,15,VimL,neovim@neovim,5,yes but more,an: ABORTING
1,16,C,vim@vim,7,yes,an: captialisation ignored
1,17,Shell,tldr-pages@tldr,9,yes but less,ca: ERR!. failed
1,18,C++,BVLC@caffe,1,partial,ca: CMake Error. Error an: Error. incomplete
1,19,Elixir,elixir-lang@elixir,2,partial,ca: 1) an: invalid. captialisation ignored
1,20,Python,vinta@awesome-python,2,yes,an: just bit less specific. only one word allowed
1,21,R,twitter@AnomalyDetection,8,partial,ca: failed. ERROR. an: ERROR. failure. halted
1,22,Lua,martanne@vis,3,yes but more,an: undefined. captialization ignored
1,23,Scala,akka@akka,3,no,ca: error an: failed
1,24,TypeScript,Microsoft@TypeScript,8,partial,ca: failing. 1). ✖. an: failing. error
1,25,Haskell,jgm@pandoc,6,yes,
1,26,Java,square@retrofit,9,partial,an: more specific to failure
1,27,Shell,jwilder@nginx-proxy,10,partial,ca: =================================== an: FAILED
1,28,Ruby,jekyll@jekyll,3,yes,
1,29,Go,avelino@awesome-go,7,yes,
2,0,Python,nvbn@thefuck,0,yes,
2,1,Python,nvbn@thefuck,1,yes,
2,2,Python,nvbn@thefuck,2,yes,
2,3,Python,nvbn@thefuck,3,yes,
2,4,Python,nvbn@thefuck,4,yes,
2,5,Python,nvbn@thefuck,5,yes,
2,6,Python,nvbn@thefuck,6,yes,
2,7,Python,nvbn@thefuck,7,yes,
2,8,Python,nvbn@thefuck,8,no,ca: linter an: test just as others
2,9,Python,nvbn@thefuck,9,yes,
2,10,Swift,Alamofire@Alamofire,0,yes,
2,11,Swift,Alamofire@Alamofire,1,yes,
2,12,Swift,Alamofire@Alamofire,2,yes,
2,13,Swift,Alamofire@Alamofire,3,no,different test failure description
2,14,Swift,Alamofire@Alamofire,4,yes,
2,15,Swift,Alamofire@Alamofire,5,yes,
2,16,Swift,Alamofire@Alamofire,6,no,same as no. 3
2,17,Swift,Alamofire@Alamofire,7,yes,
2,18,Swift,Alamofire@Alamofire,8,yes,
2,19,Swift,Alamofire@Alamofire,9,no,different test failure but still test
2,20,Perl,sjdy521@Mojo-Webqq,0,yes,
2,21,Perl,sjdy521@Mojo-Webqq,1,yes,
2,22,Perl,sjdy521@Mojo-Webqq,2,yes,
2,23,Perl,sjdy521@Mojo-Webqq,3,yes,
2,24,Perl,sjdy521@Mojo-Webqq,4,yes,
2,25,Perl,sjdy521@Mojo-Webqq,5,yes,
2,26,Perl,sjdy521@Mojo-Webqq,6,yes,
2,27,Perl,sjdy521@Mojo-Webqq,7,yes,
2,28,Perl,sjdy521@Mojo-Webqq,8,yes,
2,29,Perl,sjdy521@Mojo-Webqq,9,yes,
